date,retail
2015-12-27,76.0
2016-01-03,77.0
2016-01-10,81.0
2016-01-17,83.0
2016-01-24,86.0
2016-01-31,78.0
2016-02-07,83.0
2016-02-14,76.0
2016-02-21,79.0
2016-02-28,81.0
2016-03-06,89.0
2016-03-13,83.0
2016-03-20,79.0
2016-03-27,89.0
2016-04-03,80.0
2016-04-10,77.0
2016-04-17,86.0
2016-04-24,71.0
2016-05-01,73.0
2016-05-08,73.0
2016-05-15,63.0
2016-05-22,70.0
2016-05-29,69.0
2016-06-05,68.0
2016-06-12,66.0
2016-06-19,78.0
2016-06-26,78.0
2016-07-03,72.0
2016-07-10,69.0
2016-07-17,76.0
2016-07-24,78.0
2016-07-31,75.0
2016-08-07,77.0
2016-08-14,74.0
2016-08-21,68.0
2016-08-28,76.0
2016-09-04,76.0
2016-09-11,76.0
2016-09-18,71.0
2016-09-25,76.0
2016-10-02,100.0
2016-10-09,94.0
2016-10-16,89.0
2016-10-23,88.0
2016-10-30,68.0
2016-11-06,59.0
2016-11-13,62.0
2016-11-20,63.0
2016-11-27,61.0
2016-12-04,62.0
2016-12-11,67.0
2016-12-18,65.0
2016-12-25,63.0
2017-01-01,75.0
2017-01-08,68.0
2017-01-15,64.0
2017-01-22,69.0
2017-01-29,58.0
2017-02-05,62.0
2017-02-12,59.0
2017-02-19,58.0
2017-02-26,57.0
2017-03-05,56.0
2017-03-12,56.0
2017-03-19,55.0
2017-03-26,56.0
2017-04-02,56.0
2017-04-09,56.0
2017-04-16,57.0
2017-04-23,55.0
2017-04-30,55.0
2017-05-07,59.0
2017-05-14,61.0
2017-05-21,56.0
2017-05-28,57.0
2017-06-04,53.0
2017-06-11,57.0
2017-06-18,59.0
2017-06-25,61.0
2017-07-02,54.0
2017-07-09,57.0
2017-07-16,65.0
2017-07-23,68.0
2017-07-30,82.0
2017-08-06,78.0
2017-08-13,57.0
2017-08-20,54.0
2017-08-27,57.0
2017-09-03,60.0
2017-09-10,60.0
2017-09-17,72.0
2017-09-24,72.0
2017-10-01,79.94652406417111
2017-10-08,78.3475935828877
2017-10-15,69.55347593582887
2017-10-22,59.95989304812834
2017-10-29,63.957219251336895
2017-11-05,68.75401069518716
2017-11-12,72.75133689839572
2017-11-19,75.14973262032085
2017-11-26,71.1524064171123
2017-12-03,70.35294117647058
2017-12-10,69.55347593582887
2017-12-17,67.95454545454545
2017-12-24,67.15508021390374
2017-12-31,63.15775401069519
2018-01-07,62.35828877005348
2018-01-14,60.75935828877005
2018-01-21,65.55614973262031
2018-01-28,62.35828877005348
2018-02-04,59.16042780748663
2018-02-11,58.36096256684492
2018-02-18,51.965240641711226
2018-02-25,49.56684491978609
2018-03-04,53.56417112299465
2018-03-11,55.16310160427808
2018-03-18,59.16042780748663
2018-03-25,59.95989304812834
2018-04-01,57.56149732620321
2018-04-08,56.76203208556149
2018-04-15,56.76203208556149
2018-04-22,49.56684491978609
2018-04-29,53.56417112299465
2018-05-06,53.56417112299465
2018-05-13,53.56417112299465
2018-05-20,58.36096256684492
2018-05-27,56.76203208556149
2018-06-03,59.16042780748663
2018-06-10,63.957219251336895
2018-06-17,62.35828877005348
2018-06-24,57.56149732620321
2018-07-01,54.07717349861666
2018-07-08,54.75313816734936
2018-07-15,57.4569968422802
2018-07-22,56.105067504814784
2018-07-29,55.42910283608207
2018-08-05,57.4569968422802
2018-08-12,57.4569968422802
2018-08-19,55.42910283608207
2018-08-26,54.75313816734936
2018-09-02,54.07717349861666
2018-09-09,52.72524416115124
2018-09-16,53.40120882988395
2018-09-23,55.42910283608207
2018-09-30,58.80892617974561
2018-10-07,67.59646687327083
2018-10-14,66.92050220453811
2018-10-21,63.54067886087457
2018-10-28,65.5685728670727
2018-11-04,59.48489084847832
2018-11-11,56.105067504814784
2018-11-18,58.80892617974561
2018-11-25,57.4569968422802
2018-12-02,54.07717349861666
2018-12-09,60.16085551721103
